"","Game","LastOdds","Count","Mean","Now","Wait","NowPct","Result"
"1",1,254,158,248.652878843944,59,99,0.373417721518987,2
"2",2,256,131,254.178696711031,60,71,0.458015267175573,15
"3",3,278,58,277.573124319491,29,29,0.5,-15
"4",4,249,127,257.426844166794,77,50,0.606299212598425,-7
"5",5,256,113,254.416818778013,53,60,0.469026548672566,3
"6",6,271,117,269.967207183193,62,55,0.52991452991453,16
"7",7,262,153,260.34745869614,69,84,0.450980392156863,3
"8",8,278,15,276.084335422824,9,6,0.6,-8
"9",9,306,29,309.330210793066,18,11,0.620689655172414,-5
"10",10,317,122,326.805407919654,75,47,0.614754098360656,8
"11",11,324,101,309.750662533333,37,64,0.366336633663366,3
"12",12,327,52,323.078946008138,25,27,0.480769230769231,-4
"13",13,317,112,324.398928249155,65,47,0.580357142857143,2
"14",14,332,75,331.820768873368,37,38,0.493333333333333,-14
"15",15,322,23,315.994471177143,11,12,0.478260869565217,5
"16",16,328,125,328.334001603824,67,58,0.536,-10
"17",17,335,79,341.878982926467,41,38,0.518987341772152,4
"18",18,318,40,304.177782311547,17,23,0.425,10
"19",19,328,64,321.514899748278,25,39,0.390625,-9
"20",20,301,111,298.490214156558,53,58,0.477477477477477,-6
"21",21,295,38,292.50376882397,20,18,0.526315789473684,9
"22",22,270,106,265.938077112561,50,56,0.471698113207547,5
"23",23,263,104,262.962185582095,58,46,0.557692307692308,1
"24",24,247,58,240.431288784827,29,29,0.5,-12
"25",25,248,117,245.540174528844,50,67,0.427350427350427,-22
"26",26,227,89,227.174928463013,45,44,0.50561797752809,15
"27",27,212,6,201.719805960376,1,5,0.166666666666667,2
"28",28,214,74,208.733914179067,27,47,0.364864864864865,-6
"29",29,208,120,208.381706027797,69,51,0.575,0
"30",30,204,8,205.042923724327,3,5,0.375,-15
"31",31,192,64,185.797168027002,27,37,0.421875,-4
"32",32,182,63,180.308034111709,30,33,0.476190476190476,-11
"33",33,154,119,151.142643271463,42,77,0.352941176470588,3
"34",34,159,19,158.025255696596,9,10,0.473684210526316,-16
"35",35,140,117,136.217148584338,54,63,0.461538461538462,-1
"36",36,137,7,132.417655666142,2,5,0.285714285714286,3
"37",37,125,16,133.918493789981,10,6,0.625,-24
"38",38,149,105,147.160329899256,46,59,0.438095238095238,8
"39",39,155,85,159.070253707294,44,41,0.517647058823529,-2
"40",40,143,77,143.143833866097,40,37,0.519480519480519,-1
"41",41,144,20,147.645517590433,12,8,0.6,12
"42",42,134,5,166.838183658652,5,0,1,8
"43",43,124,90,123.640788229252,47,43,0.522222222222222,-9
"44",44,153,35,162.951122997426,24,11,0.685714285714286,4
"45",45,149,74,150.019610714354,42,32,0.567567567567568,0
"46",46,150,144,151.200318912586,68,76,0.472222222222222,1
"47",47,144,148,143.304127608031,76,72,0.513513513513513,7
"48",48,136,79,133.28406476742,28,51,0.354430379746835,6
"49",49,116,80,110.222399451851,27,53,0.3375,11
"50",50,129,91,130.384089250516,46,45,0.505494505494505,-19
"51",51,151,20,146.225000952457,10,10,0.5,-25
"52",52,134,125,134.994590583669,65,60,0.52,1
"53",53,123,105,121.583691440951,51,54,0.485714285714286,-11
"54",54,116,93,114.1684780916,40,53,0.43010752688172,-6
"55",55,113,9,105.086833107381,3,6,0.333333333333333,23
"56",56,149,13,150.250892232705,6,7,0.461538461538462,11
"57",57,166,56,165.642554529143,25,31,0.446428571428571,-26
"58",58,146,143,147.119516383488,73,70,0.510489510489511,8
"59",59,142,84,135.236472677546,34,50,0.404761904761905,7
"60",60,161,124,162.127148371071,64,60,0.516129032258065,25
"61",61,138,71,133.815017819704,33,38,0.464788732394366,-5
"62",62,131,98,124.204863655404,40,58,0.408163265306122,7
"63",63,142,101,142.06647282687,46,55,0.455445544554455,9
"64",64,151,133,153.228716319209,71,62,0.533834586466165,-3
"65",65,137,69,139.709094124059,37,32,0.536231884057971,-3
"66",66,145,76,137.815288312664,36,40,0.473684210526316,-9
"67",67,148,21,144.336666960038,7,14,0.333333333333333,-1
"68",68,132,57,128.413444980882,24,33,0.421052631578947,3
"69",69,139,68,147.472460372557,36,32,0.529411764705882,5
"70",70,130,111,127.874759227503,49,62,0.441441441441441,-22
"71",71,97,138,93.4470366786218,61,77,0.442028985507246,-9
"72",72,109,116,108.576071736814,58,58,0.5,-12
"73",73,102,67,102.047974299807,29,38,0.432835820895522,6
"74",74,95,98,96.8142696751677,50,48,0.510204081632653,4
"75",75,87,130,92.362885444626,74,56,0.569230769230769,-2
"76",76,90,93,81.6398505188035,36,57,0.387096774193548,-8
"77",77,75,18,64.6584418067973,7,11,0.388888888888889,0
"78",78,70,22,71.0137850281667,13,9,0.590909090909091,21
"79",79,44,110,39.0067650250609,45,65,0.409090909090909,1
"80",80,53,138,52.0397336051652,65,73,0.471014492753623,18
